               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.061011,            0.012237,                   0,              0.2752,             0.15194,            0.099222,            0.033767,            0.080592,           0.0069954,                   0,            0.070019,           0.0033312,           0.0033312
                   1,             0.04155,           0.0079612,                   0,             0.28049,             0.22568,             0.15161,             0.04886,            0.073942,           0.0063231,                   0,            0.039887,           0.0065326,           0.0065326
                   2,            0.038183,           0.0073168,                   0,             0.27473,             0.21869,             0.16695,            0.057677,            0.071414,           0.0066382,                   0,           0.0096229,            0.009602,            0.009602
                   3,            0.035468,           0.0069206,                   0,              0.3397,             0.28417,             0.21584,            0.069438,            0.068403,           0.0059843,                   0,            0.009406,            0.009406,            0.009406
                   4,            0.033832,           0.0067579,                   0,             0.36733,             0.27146,              0.2481,            0.092507,            0.066451,           0.0059487,                   0,            0.009406,            0.009406,            0.009406
                   5,            0.032883,           0.0065044,                   0,             0.41538,             0.28276,             0.25652,            0.087675,            0.065896,           0.0058019,                   0,            0.009208,            0.009208,            0.009208
                   6,            0.032137,           0.0063699,                   0,             0.47146,             0.31596,             0.29721,             0.10441,            0.063421,           0.0056538,                   0,             0.00901,             0.00901,             0.00901
                   7,            0.031632,           0.0063568,                   0,             0.59671,             0.31982,              0.3316,             0.11605,            0.061444,           0.0055357,                   0,            0.008812,            0.008812,            0.008812
                   8,            0.031072,           0.0062471,                   0,             0.56657,             0.32326,              0.3533,             0.13446,            0.059622,           0.0054641,                   0,            0.008614,            0.008614,            0.008614
                   9,            0.030976,           0.0062036,                   0,             0.58234,             0.33772,              0.3542,             0.13462,            0.058539,           0.0054071,                   0,            0.008416,            0.008416,            0.008416
                  10,            0.030436,           0.0060989,                   0,             0.60209,             0.33821,             0.38332,             0.15113,            0.057808,           0.0053122,                   0,            0.008218,            0.008218,            0.008218
                  11,            0.030214,           0.0060705,                   0,             0.56651,             0.34266,             0.37719,             0.15299,            0.057607,           0.0052826,                   0,             0.00802,             0.00802,             0.00802
                  12,            0.030088,           0.0061071,                   0,             0.56672,             0.34341,             0.37828,             0.15247,            0.057401,           0.0053029,                   0,            0.007822,            0.007822,            0.007822
                  13,            0.029863,           0.0060522,                   0,             0.61551,             0.35982,             0.39918,             0.16564,            0.055761,           0.0051598,                   0,            0.007624,            0.007624,            0.007624
                  14,            0.029525,           0.0060093,                   0,             0.61286,             0.37254,             0.39994,             0.16574,            0.055881,            0.005188,                   0,            0.007426,            0.007426,            0.007426
                  15,            0.029327,           0.0058927,                   0,             0.63108,             0.38715,             0.40982,             0.16919,            0.054965,           0.0051488,                   0,            0.007228,            0.007228,            0.007228
                  16,            0.029374,           0.0059823,                   0,             0.60423,             0.39097,             0.42194,             0.17412,            0.054317,           0.0051365,                   0,             0.00703,             0.00703,             0.00703
                  17,             0.02913,           0.0059147,                   0,             0.63614,             0.38234,             0.42222,             0.17996,            0.053913,           0.0051033,                   0,            0.006832,            0.006832,            0.006832
                  18,            0.029024,           0.0058882,                   0,             0.62542,             0.41513,             0.44561,             0.18332,            0.053403,            0.005056,                   0,            0.006634,            0.006634,            0.006634
                  19,            0.028897,           0.0058937,                   0,             0.66098,             0.41398,             0.45147,             0.19424,            0.052795,           0.0049823,                   0,            0.006436,            0.006436,            0.006436
                  20,            0.028577,           0.0057877,                   0,             0.69895,             0.42467,             0.46236,             0.19834,            0.051956,            0.004952,                   0,            0.006238,            0.006238,            0.006238
                  21,            0.028719,           0.0058791,                   0,             0.70081,             0.42149,             0.46234,             0.20221,            0.051698,           0.0049131,                   0,             0.00604,             0.00604,             0.00604
