               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.027679,           0.0056372,                   0,             0.70648,             0.40242,             0.46458,             0.19753,            0.052098,           0.0049308,                   0,            0.070019,           0.0033312,           0.0033312
                   1,            0.027849,           0.0056054,                   0,             0.64074,             0.41004,             0.44643,             0.19182,            0.053117,           0.0049641,                   0,            0.039887,           0.0065326,           0.0065326
                   2,            0.028911,           0.0058403,                   0,             0.58496,             0.37381,             0.39528,              0.1507,            0.056983,           0.0052152,                   0,           0.0096229,            0.009602,            0.009602
                   3,            0.029883,           0.0060016,                   0,             0.61404,             0.32567,             0.35965,             0.13543,            0.058718,           0.0054698,                   0,            0.009406,            0.009406,            0.009406
                   4,            0.029894,           0.0060871,                   0,             0.61068,             0.36498,             0.40789,             0.16604,            0.056044,           0.0052257,                   0,            0.009406,            0.009406,            0.009406
                   5,            0.029861,           0.0059944,                   0,             0.54829,             0.35791,             0.36989,             0.14107,            0.057928,           0.0053403,                   0,            0.009208,            0.009208,            0.009208
                   6,            0.029557,           0.0059358,                   0,             0.60626,             0.37444,             0.40167,             0.15083,             0.05718,           0.0052834,                   0,             0.00901,             0.00901,             0.00901
                   7,            0.029315,           0.0059724,                   0,             0.69392,              0.3805,             0.44647,             0.17201,            0.055052,           0.0051607,                   0,            0.008812,            0.008812,            0.008812
                   8,            0.029056,           0.0059159,                   0,             0.64349,             0.39288,             0.43913,             0.18243,            0.054315,           0.0050793,                   0,            0.008614,            0.008614,            0.008614
                   9,            0.029174,           0.0059139,                   0,             0.64614,             0.39288,             0.44047,             0.18344,            0.054175,           0.0051078,                   0,            0.008416,            0.008416,            0.008416
                  10,            0.028809,           0.0058339,                   0,             0.65027,             0.40781,             0.45097,             0.19086,            0.053228,           0.0050227,                   0,            0.008218,            0.008218,            0.008218
                  11,            0.028615,           0.0058155,                   0,             0.67616,             0.35919,             0.42646,              0.1843,             0.05384,           0.0050968,                   0,             0.00802,             0.00802,             0.00802
                  12,            0.028622,           0.0058471,                   0,             0.65939,             0.42022,             0.46085,             0.19046,            0.053366,           0.0050267,                   0,            0.007822,            0.007822,            0.007822
                  13,            0.028531,           0.0058378,                   0,             0.65289,             0.41767,             0.46117,             0.19427,            0.052453,           0.0049751,                   0,            0.007624,            0.007624,            0.007624
                  14,            0.028253,           0.0058019,                   0,             0.67383,             0.39987,             0.45329,             0.18994,            0.052928,           0.0050074,                   0,            0.007426,            0.007426,            0.007426
                  15,            0.028245,           0.0057276,                   0,             0.67401,             0.41704,             0.47615,             0.20702,            0.051341,           0.0049566,                   0,            0.007228,            0.007228,            0.007228
                  16,            0.028182,           0.0057933,                   0,             0.67161,              0.4075,             0.46597,              0.2039,            0.051593,           0.0049513,                   0,             0.00703,             0.00703,             0.00703
                  17,            0.028015,           0.0057249,                   0,               0.713,             0.40273,             0.48134,               0.208,            0.051257,           0.0049182,                   0,            0.006832,            0.006832,            0.006832
                  18,            0.027957,           0.0057061,                   0,              0.6593,              0.4564,             0.50183,             0.21644,            0.050519,           0.0048401,                   0,            0.006634,            0.006634,            0.006634
                  19,            0.027824,           0.0057268,                   0,              0.7421,             0.43102,             0.50919,             0.22399,            0.049861,             0.00482,                   0,            0.006436,            0.006436,            0.006436
                  20,            0.027566,           0.0056283,                   0,             0.73826,             0.43992,              0.5151,             0.22861,            0.049645,           0.0047751,                   0,            0.006238,            0.006238,            0.006238
                  21,            0.027764,           0.0057114,                   0,             0.72959,             0.43611,             0.51058,              0.2313,            0.049187,           0.0047661,                   0,             0.00604,             0.00604,             0.00604
                  22,            0.027644,           0.0056493,                   0,              0.6966,             0.44183,             0.51757,             0.22643,            0.049516,           0.0047847,                   0,            0.005842,            0.005842,            0.005842
                  23,            0.027523,           0.0056907,                   0,             0.73911,              0.4431,             0.51686,             0.22929,            0.049471,           0.0048078,                   0,            0.005644,            0.005644,            0.005644
                  24,            0.027259,           0.0056357,                   0,             0.70615,             0.45264,             0.51449,             0.22731,            0.049288,           0.0047868,                   0,            0.005446,            0.005446,            0.005446
                  25,            0.027413,           0.0056578,                   0,             0.72267,             0.46599,             0.52873,             0.23228,            0.048654,           0.0047362,                   0,            0.005248,            0.005248,            0.005248
                  26,            0.027383,           0.0056607,                   0,              0.7364,             0.46281,             0.53323,             0.23613,            0.048174,           0.0046957,                   0,             0.00505,             0.00505,             0.00505
                  27,            0.027274,           0.0056178,                   0,             0.74507,             0.45073,             0.52687,             0.23724,            0.048203,            0.004678,                   0,            0.004852,            0.004852,            0.004852
                  28,            0.027052,           0.0055562,                   0,             0.72805,             0.46281,             0.52846,             0.23889,             0.04796,           0.0047024,                   0,            0.004654,            0.004654,            0.004654
                  29,            0.027049,           0.0055433,                   0,              0.7382,             0.45711,             0.52951,             0.23878,            0.047966,           0.0047241,                   0,            0.004456,            0.004456,            0.004456
                  30,            0.027018,           0.0055654,                   0,              0.7126,             0.45963,             0.52907,             0.24023,            0.047639,           0.0047029,                   0,            0.004258,            0.004258,            0.004258
                  31,            0.026839,           0.0055201,                   0,             0.69521,             0.46401,             0.52762,             0.24208,            0.047366,           0.0047171,                   0,             0.00406,             0.00406,             0.00406
                  32,            0.026744,           0.0054963,                   0,             0.71065,              0.4679,             0.53229,             0.24335,            0.047291,           0.0046999,                   0,            0.003862,            0.003862,            0.003862
                  33,            0.026591,           0.0054704,                   0,             0.71316,             0.47577,              0.5413,             0.24672,            0.046985,           0.0046715,                   0,            0.003664,            0.003664,            0.003664
                  34,            0.026468,           0.0054584,                   0,             0.72592,             0.47145,             0.54403,              0.2489,            0.046815,           0.0046601,                   0,            0.003466,            0.003466,            0.003466
